image_name,status,reason,timestamp
VideoWindow-p0-d027641-2025-12-16-17:00:04-ch-8-6.00MB-raw-1776900306620-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:20
VideoWindow-p0-d027641-2025-12-16-17:00:04-ch-8-6.00MB-raw-1776900307039-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:20
VideoWindow-p0-d027641-2025-12-16-17:00:04-ch-8-6.00MB-raw-1776900307039-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:21
VideoWindow-p0-d027641-2025-12-16-17:00:04-ch-8-6.00MB-raw-1776900307039-03.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:21
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902070854-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:21
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902070854-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:21
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902070854-03.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:21
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902071483-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:21
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902071483-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:22
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902071483-03.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:22
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902072161-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:22
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902072161-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:22
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902072161-03.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:22
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902072631-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:22
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902072631-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:22
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902073105-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:22
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902073559-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:23
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902073559-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:23
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902073975-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:23
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902074439-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:23
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902074865-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:23
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902075328-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:24
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902075328-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:24
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902075785-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:24
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902075785-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:24
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902076207-01.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:25
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902076207-02.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:25
VideoWindow-p0-d041540-2025-12-18-00:00:04-ch-9-6.00MB-raw-1776902076207-03.jpg,DISCARD,NO_CATTLE,2026-04-29 11:21:25
